iter	Passed	Remaining
0	3	3209
1	5	2884
2	8	2728
3	11	2743
4	13	2697
5	16	2719
6	19	2795
7	23	2919
8	26	2915
9	29	2900
10	33	3007
11	37	3074
12	40	3093
13	43	3093
14	48	3181
15	51	3195
16	55	3214
17	59	3231
18	63	3278
19	66	3280
20	70	3273
21	73	3266
22	77	3296
23	81	3300
24	84	3304
25	88	3316
26	92	3334
27	96	3338
28	99	3331
29	102	3328
30	107	3356
31	111	3371
32	115	3370
33	120	3424
34	125	3455
35	129	3474
36	134	3511
37	139	3522
38	143	3525
39	148	3559
40	153	3581
41	157	3584
42	161	3588
43	166	3617
44	170	3625
45	174	3625
46	180	3660
47	185	3671
48	188	3655
49	193	3675
50	198	3688
51	217	3958
52	220	3938
53	225	3951
54	229	3950
55	233	3931
56	236	3912
57	241	3921
58	245	3913
59	248	3894
60	253	3895
61	257	3897
62	261	3892
63	265	3880
64	270	3884
65	274	3881
66	277	3870
67	281	3857
68	286	3867
69	290	3858
70	294	3854
71	299	3856
72	302	3847
73	306	3837
74	310	3828
75	315	3837
76	319	3832
77	323	3821
78	327	3812
79	331	3808
80	335	3804
81	338	3792
82	343	3795
83	347	3793
84	351	3785
85	355	3779
86	361	3791
87	365	3791
88	369	3785
89	374	3787
90	378	3778
91	382	3774
92	386	3768
93	391	3768
94	395	3766
95	399	3757
96	404	3763
97	408	3760
98	412	3752
99	416	3752
100	421	3750
101	424	3741
102	427	3720
103	431	3719
104	436	3719
105	440	3711
106	443	3702
107	448	3706
108	452	3700
109	456	3694
110	460	3688
111	465	3686
112	468	3679
113	472	3669
114	476	3669
115	480	3664
116	484	3657
117	488	3649
118	493	3654
119	497	3647
120	501	3641
121	505	3639
122	510	3640
123	514	3632
124	517	3623
125	522	3626
126	526	3621
127	530	3615
128	535	3614
129	537	3598
130	541	3591
131	545	3585
132	549	3580
133	553	3577
134	557	3572
135	561	3567
136	566	3570
137	570	3564
138	574	3560
139	578	3555
140	583	3552
141	587	3547
142	590	3541
143	596	3543
144	600	3538
145	603	3531
146	607	3523
147	611	3522
148	616	3518
149	619	3510
150	623	3506
151	628	3505
152	632	3500
153	635	3492
154	640	3491
155	644	3488
156	648	3483
157	652	3477
158	657	3477
159	662	3477
160	666	3471
161	671	3472
162	675	3466
163	678	3460
164	682	3452
165	686	3450
166	690	3445
167	694	3438
168	699	3437
169	703	3435
170	707	3428
171	710	3422
172	715	3422
173	719	3416
174	723	3410
175	729	3413
176	733	3412
177	738	3409
178	743	3410
179	747	3407
180	751	3402
181	755	3396
182	760	3395
183	764	3390
184	768	3384
185	772	3379
186	776	3377
187	780	3371
188	784	3364
189	788	3361
190	792	3357
191	796	3353
192	800	3347
193	805	3345
194	809	3340
195	812	3333
196	816	3327
197	820	3324
198	825	3321
199	828	3314
200	833	3311
201	837	3308
202	841	3302
203	844	3295
204	849	3295
205	853	3291
206	857	3284
207	861	3280
208	866	3277
209	870	3275
210	875	3274
211	881	3275
212	885	3272
213	889	3268
214	895	3268
215	899	3265
216	903	3258
217	908	3257
218	911	3252
219	915	3247
220	921	3247
221	925	3244
222	929	3237
223	932	3231
224	938	3231
225	942	3228
226	946	3223
227	951	3220
228	955	3216
229	959	3210
230	963	3205
231	968	3204
232	972	3199
233	975	3194
234	979	3189
235	983	3184
236	987	3179
237	991	3175
238	997	3174
239	1001	3170
240	1004	3164
241	1019	3192
242	1022	3184
243	1026	3180
